Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
0001;27;47;;8;;4;10;96
0002;4;;;;;;;4
0003;;;;;;;;
0004;31;6;1;2;2;1;7;50
0005;6;;;;;;;6
0006;16;3;;;3;1;4;27
0007;8;;;;;;;8
0008;8;;;;2;1;;11
0009;1;;;;;2;;3
0010;24;6;1;;;7;7;45
0011;4;;;1;;1;;6
0012;124;19;2;5;3;40;34;227
0013;33;12;8;;4;14;15;86
0014;10;1;;;;;2;13
0015;11;2;;;1;2;23;39
0016;9;;;;;;;9
0017;26;3;;1;;1;4;35
0018;7;;;;;;;7
0019;13;2;;;;1;1;17
0020;6;;2;;;;;8
0021;11;5;;1;;3;2;22
0022;2;;;;;;;2
0023;;;;;;3;;3
0024;11;;;;;2;;13
0025;;8;;2;3;5;1;19
0026;4;2;;;;4;;10
0027;7;1;2;1;1;3;1;16
0028;;1;;1;;;;2
0029;2;;1;2;2;4;;11
0030;6;1;;;;;;7
0031;12;2;1;;2;12;7;36
0032;;;;;;;;
0033;12;1;1;;;2;;16
0034;1;;;;;;3;4
0035;;;;;;;;
0036;1;;;;;;1;2
0037;1;;;;;;1;2
0038;5;2;;;;;;7
0039;30;11;4;2;5;14;7;73
0040;;;;;;;;
0041;25;1;;;;3;2;31
0042;12;7;6;;2;19;15;61
0043;24;4;1;;1;1;1;32
0044;;;;;;;;
0045;;;;;;;3;3
0046;;1;;;;;;1
0047;6;1;1;;;1;;9
0048;;;;;;;;
0049;;3;;;;;;3
0050;7;6;2;1;;7;2;25
0051;;;;;;;;
0052;10;2;;;1;6;6;25
0053;21;5;3;1;1;5;6;42
0054;14;2;2;1;;3;4;26
0055;3;;;;;;;3
0056;;;;;;;;
0057;;;;;;;;
0058;56;1;4;3;3;6;7;80
0059;26;5;3;2;2;8;4;50
0060;214;36;9;9;14;63;53;398
0061;2;2;;;2;;;6
0062;189;31;17;16;21;83;55;412
0063;45;6;;2;2;10;5;70
0064;75;16;5;2;;15;1;114
0065;54;6;1;1;4;26;44;136
0066;3;;;;;;;3
0067;37;7;1;;1;16;9;71
0068;1;;;;;1;;2
0069;172;28;6;7;15;51;67;346
0070;99;31;5;4;9;32;43;223
0071;42;10;1;2;4;9;12;80
0072;1;1;;;;;1;3
0073;18;2;1;;1;;1;23
0074;16;5;;2;4;1;1;29
0075;;;;;;;;
0076;68;10;1;4;3;8;11;105
0077;131;22;6;6;11;24;30;230
0078;92;20;5;1;5;22;18;163
0079;200;55;14;14;20;39;40;382
0080;;;;;;;;
0081;137;28;13;3;11;35;16;243
0082;133;34;;2;;25;15;209
0083;;;;;;;;
0084;;;;;;;;
0085;;;;;;;;
0086;;;;;;;;
0087;20;;2;1;;4;;27
0088;41;9;3;2;1;18;21;95
0089;19;8;2;;3;4;8;44
0090;81;7;5;3;6;21;33;156
0091;36;8;;;2;3;6;55
0092;10;2;;;2;1;9;24
0093;41;3;2;1;5;16;19;87
0094;29;8;2;;1;10;16;66
0095;40;7;4;1;3;14;9;78
0096;41;9;1;1;3;12;9;76
0097;110;21;12;6;9;69;49;276
0098;126;29;4;2;4;31;30;226
0099;48;11;3;;1;9;14;86
0100;37;17;5;2;2;16;9;88
0101;169;28;4;5;8;33;50;297
0102;3;;;;1;4;7;15
0103;96;22;11;4;9;16;17;175
0104;110;17;3;1;5;26;9;171
0105;68;9;4;;7;5;14;107
0106;3;1;;;2;1;2;9
0107;152;27;13;11;12;33;34;282
0108;34;13;1;1;1;18;12;80
0109;97;16;9;2;15;36;50;225
0110;31;5;4;1;1;14;17;73
0111;35;3;4;;3;12;5;62
0112;67;6;3;1;4;14;10;105
0113;125;21;14;3;21;49;51;284
0114;34;3;1;2;6;11;15;72
0115;33;;3;1;3;25;14;79
0116;48;9;5;4;2;34;25;127
0117;137;24;2;4;8;42;36;253
0118;46;11;4;3;3;20;12;99
0119;2;1;;;;;;3
0120;109;15;2;6;2;36;29;199
0121;1;1;;;;;;2
0122;7;1;;;1;6;13;28
0123;;;;;;;;
0124;91;19;8;2;11;27;27;185
0125;1;;;;;;;1
0126;;;;;;;;
0127;78;19;9;11;18;70;36;241
0128;;;;;;;;
0129;2;;;;;;;2
0130;56;2;7;4;1;5;9;84
0131;2;2;;;;2;9;15
0132;50;17;1;1;5;21;19;114
0133;;;;;;;;
0134;27;1;;3;;;1;32
0135;31;2;4;;1;4;1;43
0136;;;;;;;;
0137;11;3;2;3;2;6;2;29
0138;5;1;2;2;1;;;11
0139;13;2;;1;;1;2;19
0140;164;48;16;10;9;55;75;377
0141;1;1;;;;;;2
0142;173;46;8;7;8;104;72;418
0143;41;1;2;1;5;9;18;77
0144;5;1;;;;3;;9
0145;176;46;6;15;13;56;48;360
0146;131;29;6;12;11;73;56;318
0147;87;21;7;8;5;37;41;206
0148;75;19;9;3;3;10;13;132
0149;109;34;13;6;15;28;21;226
0150;109;20;6;4;10;41;48;238
0151;40;9;2;2;2;14;8;77
0152;19;8;1;2;2;2;1;35
0153;187;38;15;7;8;52;81;388
0154;155;35;12;11;15;74;80;382
0155;160;33;7;6;8;30;28;272
0156;;;;;;;;
0157;;;;;;;;
0158;14;;1;;;2;;17
0159;4;1;;;;;7;12
0160;11;6;;;;;1;18
0161;27;9;;;1;1;;38
0162;4;;;;;;;4
0163;11;2;;;;;7;20
0164;17;6;;;;7;2;32
0165;7;1;;;;5;5;18
0166;;;;;;;;
0167;;;;;;;;
0168;134;28;6;4;5;37;44;258
0169;203;42;21;7;14;47;16;350
0170;8;1;;;;;1;10
0171;249;55;22;11;28;83;19;467
0172;16;;2;;;;1;19
0173;144;45;7;5;6;54;24;285
0174;190;41;10;7;31;102;61;442
0175;4;1;;;;;;5
0176;197;52;5;9;10;14;18;305
0177;155;19;6;8;11;16;39;254
0178;37;4;1;1;2;11;10;66
0179;;;;;;;;
0180;77;18;5;4;3;12;4;123
0181;;;;;;;;
0182;227;38;8;8;11;62;42;396
0183;41;10;5;2;6;17;1;82
0184;4;;;;;;;4
0185;9;2;;;;1;;12
0186;23;4;2;;4;5;3;41
0187;3;;;;;;;3
0188;4;;;;;;;4
0189;4;;;;;1;;5
0190;1;;;;;;;1
0191;15;;1;;;;2;18
0192;1;;;;;1;;2
0193;5;;;;;1;5;11
0194;6;4;;1;;1;3;15
0195;3;1;;;;;;4
0196;69;21;3;4;1;13;14;125
0197;23;4;1;1;;5;2;36
0198;38;8;1;3;1;1;8;60
0199;30;14;2;;;1;;47
0200;;;;;;;;
0201;32;9;2;2;;3;;48
0202;7;;;;;;;7
0203;44;2;8;1;1;8;1;65
0204;2;;;;;;;2
